Date,Open,High,Low,Close*,Volume
2023-10-05,0.259293,0.263718,0.257044,0.260149,"103,200,693"
2023-10-06,0.260151,0.266558,0.260151,0.264872,"93,706,350"
2023-10-07,0.264865,0.265521,0.257214,0.258735,"116,821,694"
2023-10-08,0.258752,0.259127,0.255947,0.256629,"77,624,838"
2023-10-09,0.25661,0.258533,0.249425,0.251642,"134,553,476"
2023-10-10,0.251631,0.253101,0.247501,0.249141,"110,183,513"
2023-10-11,0.249127,0.249481,0.245405,0.248001,"113,880,690"
2023-10-12,0.247999,0.248071,0.243176,0.245922,"92,208,448"
2023-10-13,0.245911,0.249159,0.245187,0.246146,"99,166,403"
2023-10-14,0.246146,0.247656,0.245249,0.247011,"71,920,372"
2023-10-15,0.246998,0.248246,0.245786,0.247356,"81,524,646"
2023-10-16,0.247346,0.257798,0.247346,0.251563,"187,099,359"
2023-10-17,0.251558,0.251676,0.246613,0.247115,"131,953,756"
2023-10-18,0.247103,0.247931,0.243062,0.243453,"107,992,174"
2023-10-19,0.243453,0.246924,0.240656,0.246923,"120,374,373"
2023-10-20,0.246938,0.252718,0.245981,0.251138,"137,878,642"
2023-10-21,0.251122,0.261917,0.249984,0.258585,"138,559,397"
2023-10-22,0.258589,0.264044,0.256831,0.263573,"121,687,463"
2023-10-23,0.265028,0.279954,0.262487,0.279954,"313,911,948"
2023-10-24,0.279988,0.293189,0.274948,0.278993,"386,762,854"
2023-10-25,0.279034,0.289457,0.277126,0.280556,"244,471,413"
2023-10-26,0.280594,0.297003,0.280594,0.287292,"299,638,179"
2023-10-27,0.287255,0.29216,0.281392,0.289468,"188,027,753"
2023-10-28,0.289501,0.297282,0.289208,0.29125,"146,280,893"
2023-10-29,0.291269,0.298596,0.28951,0.295283,"144,390,110"
2023-10-30,0.295305,0.302964,0.292755,0.302734,"222,609,453"
2023-10-31,0.302774,0.304614,0.287829,0.293107,"303,875,077"
2023-11-01,0.293126,0.308579,0.285319,0.307459,"334,066,110"
2023-11-02,0.30745,0.329129,0.301588,0.323142,"459,253,523"
2023-11-03,0.323148,0.329196,0.312631,0.329021,"355,511,861"
2023-11-04,0.329031,0.330268,0.321918,0.328542,"203,170,093"
2023-11-05,0.328553,0.34979,0.327182,0.34287,"315,492,035"
2023-11-06,0.342859,0.375252,0.339936,0.363408,"418,581,325"
2023-11-07,0.363293,0.365472,0.33513,0.351571,"438,830,911"
2023-11-08,0.351583,0.359764,0.349922,0.35835,"300,080,444"
2023-11-09,0.358323,0.385839,0.352742,0.368335,"685,476,982"
2023-11-10,0.368388,0.387549,0.364817,0.38621,"550,972,799"
