Date,Open,High,Low,Close*,Volume
2023-10-05,10.1,10.3,9.85,10.13,"182,074,688"
2023-10-06,10.13,10.8,10.13,10.66,"183,799,431"
2023-10-07,10.66,11.64,10.28,10.36,"302,644,508"
2023-10-08,10.36,10.52,10.0,10.1,"123,132,510"
2023-10-09,10.1,10.1,9.38,9.54,"158,064,218"
2023-10-10,9.54,9.82,9.45,9.53,"129,362,925"
2023-10-11,9.53,9.56,9.24,9.3,"114,999,357"
2023-10-12,9.3,9.31,8.91,9.12,"118,916,952"
2023-10-13,9.12,9.31,9.04,9.16,"97,829,536"
2023-10-14,9.16,9.24,9.14,9.15,"53,224,237"
2023-10-15,9.15,9.25,9.09,9.17,"75,965,196"
2023-10-16,9.17,9.73,9.17,9.42,"132,269,069"
2023-10-17,9.42,9.42,9.07,9.11,"131,082,243"
2023-10-18,9.11,9.2,8.87,8.92,"114,796,730"
2023-10-19,8.92,9.09,8.72,9.07,"120,961,089"
2023-10-20,9.07,9.37,9.04,9.22,"143,258,749"
2023-10-21,9.22,9.79,9.2,9.64,"172,829,844"
2023-10-22,9.64,10.06,9.57,10.06,"196,664,825"
2023-10-23,10.06,10.63,9.9,10.57,"314,309,003"
2023-10-24,10.57,10.78,10.14,10.31,"319,493,521"
2023-10-25,10.32,10.62,10.21,10.51,"233,131,161"
2023-10-26,10.51,11.43,10.43,11.05,"412,832,401"
2023-10-27,11.05,11.05,10.44,10.6,"221,756,572"
2023-10-28,10.6,11.05,10.57,10.97,"182,810,994"
2023-10-29,10.97,11.42,10.82,11.36,"168,871,436"
2023-10-30,11.36,11.67,11.09,11.45,"191,351,191"
2023-10-31,11.45,11.74,11.14,11.32,"272,866,211"
2023-11-01,11.32,12.29,10.93,12.21,"350,918,838"
2023-11-02,12.21,12.51,11.54,11.89,"309,909,401"
2023-11-03,11.89,12.17,11.51,12.11,"201,311,407"
2023-11-04,12.11,12.32,11.97,12.22,"141,347,218"
2023-11-05,12.22,12.64,12.14,12.37,"207,720,703"
2023-11-06,12.37,13.14,12.29,13.08,"240,896,569"
