Date,Open,High,Low,Close*,Volume
2023-10-05,233.39,234.44,226.47,231.29,"160,136,435"
2023-10-06,231.3,233.48,227.13,231.0,"130,776,610"
2023-10-07,231.0,236.03,229.17,230.32,"119,032,840"
2023-10-08,230.33,232.92,227.44,228.09,"106,051,163"
2023-10-09,228.08,228.97,213.69,218.44,"183,099,157"
2023-10-10,218.44,219.82,210.99,212.5,"148,956,797"
2023-10-11,212.49,215.55,209.37,214.03,"150,057,573"
2023-10-12,214.03,216.67,210.41,213.98,"119,489,032"
2023-10-13,213.98,218.62,212.16,217.25,"135,722,427"
2023-10-14,217.25,218.11,214.6,214.63,"74,662,095"
2023-10-15,214.64,216.36,213.1,215.16,"83,522,313"
2023-10-16,215.17,242.77,215.17,231.43,"397,121,135"
2023-10-17,231.41,231.74,225.17,226.79,"175,844,414"
2023-10-18,226.79,231.19,225.45,227.15,"174,678,715"
2023-10-19,227.13,233.33,225.56,227.47,"147,505,814"
2023-10-20,227.47,247.56,226.74,240.6,"293,140,536"
2023-10-21,240.6,245.59,238.5,243.6,"169,457,976"
2023-10-22,243.69,253.18,237.9,243.49,"231,961,899"
2023-10-23,243.53,262.53,241.05,260.61,"373,641,365"
2023-10-24,260.6,267.49,248.68,251.65,"371,213,677"
2023-10-25,251.68,259.36,249.22,254.09,"215,801,794"
2023-10-26,254.09,256.17,242.34,247.46,"203,108,208"
2023-10-27,247.46,247.46,235.29,239.44,"164,496,329"
2023-10-28,239.44,247.53,239.22,244.95,"169,505,406"
2023-10-29,244.96,249.18,243.25,246.33,"135,591,529"
2023-10-30,246.31,250.21,242.5,246.09,"155,625,496"
2023-10-31,246.08,248.44,238.72,244.86,"187,983,060"
2023-11-01,244.88,247.09,237.71,245.07,"186,486,135"
2023-11-02,245.07,248.63,233.15,235.52,"227,857,558"
2023-11-03,235.52,240.46,232.5,237.72,"174,408,959"
2023-11-04,237.72,240.33,236.42,240.33,"95,444,150"
2023-11-05,240.34,242.97,235.64,238.23,"152,062,842"
2023-11-06,238.23,244.55,236.33,242.87,"140,253,235"
2023-11-07,242.88,250.73,238.69,244.03,"247,212,999"
2023-11-08,244.01,246.96,242.09,245.69,"138,118,349"
2023-11-09,245.68,256.88,229.57,239.76,"386,966,813"
2023-11-10,239.78,242.4,236.06,239.93,"214,502,445"
2023-11-11,239.93,241.23,234.34,236.49,"163,830,006"
2023-11-12,236.5,239.25,232.28,236.51,"129,707,085"
2023-11-13,236.53,239.76,233.68,234.71,"205,987,752"
