Date,Open,High,Low,Close*,Volume
2023-10-05,213.42,213.78,210.47,210.68,"351,872,670"
2023-10-06,210.67,214.39,210.56,213.56,"271,152,975"
2023-10-07,213.54,213.86,211.76,212.36,"211,771,782"
2023-10-08,212.38,212.85,209.70,211.52,"267,193,041"
2023-10-09,211.52,212.10,203.66,205.75,"416,312,027"
2023-10-10,205.75,210.45,205.75,208.58,"441,959,353"
2023-10-11,208.58,208.73,204.81,206.53,"323,117,665"
2023-10-12,206.54,206.66,203.66,205.23,"302,337,006"
2023-10-13,205.23,207.94,204.62,206.04,"296,977,151"
2023-10-14,206.04,207.03,205.83,206.60,"203,846,460"
2023-10-15,206.60,210.23,206.48,209.74,"352,524,312"
2023-10-16,209.75,217.12,209.75,214.82,"521,099,239"
2023-10-17,214.81,215.01,210.38,211.64,"352,621,995"
2023-10-18,211.64,213.58,210.10,210.50,"275,336,939"
2023-10-19,210.49,211.41,208.54,211.14,"281,310,969"
2023-10-20,211.15,216.10,210.75,212.30,"335,590,168"
2023-10-21,212.30,215.61,211.62,214.31,"267,943,731"
2023-10-22,214.32,218.00,213.83,217.75,"286,771,903"
2023-10-23,218.46,229.98,218.30,228.35,"611,625,206"
2023-10-24,228.34,236.75,223.12,225.14,"658,304,834"
2023-10-25,225.17,228.81,222.03,222.18,"414,309,192"
2023-10-26,222.19,227.86,219.93,223.24,"438,534,864"
2023-10-27,223.22,229.85,220.20,224.48,"554,008,090"
2023-10-28,224.47,227.97,224.36,225.77,"244,363,054"
2023-10-29,225.79,228.15,224.26,227.15,"207,847,188"
2023-10-30,227.13,229.19,225.02,228.29,"282,899,321"
2023-10-31,228.28,229.24,224.33,226.44,"319,329,197"
2023-11-01,226.42,229.14,222.86,228.00,"384,772,000"
2023-11-02,228.02,233.34,227.91,231.72,"487,639,810"
2023-11-03,231.70,232.21,226.35,230.61,"332,547,803"
2023-11-04,230.60,238.51,229.66,237.45,"267,965,564"
2023-11-05,237.44,245.59,236.79,244.32,"419,858,434"
2023-11-06,244.32,255.34,242.18,254.63,"524,115,628"
2023-11-07,254.65,255.55,242.69,246.40,"549,207,441"
2023-11-08,246.39,247.81,244.58,247.12,"369,346,518"
2023-11-09,247.05,255.45,243.33,251.51,"1,116,630,429"
2023-11-10,251.53,257.79,248.94,251.08,"873,515,280"
2023-11-11,251.10,255.08,246.72,251.42,"872,206,327"
2023-11-12,251.43,251.65,245.83,247.64,"758,715,918"
2023-11-13,247.64,250.12,241.13,241.34,"888,039,233"
2023-11-14,241.37,248.67,236.29,242.26,"917,236,070"
2023-11-15,242.28,254.18,242.26,253.76,"921,052,035"
2023-11-16,253.74,255.59,240.68,242.76,"950,453,378"
2023-11-17,242.84,245.99,239.00,244.75,"788,884,171"
2023-11-18,244.75,245.35,239.28,244.95,"679,630,905"
2023-11-19,244.97,246.94,242.42,246.59,"618,053,586"
2023-11-20,246.58,263.87,243.14,253.64,"1,289,010,990"
2023-11-21,253.64,269.92,224.98,226.49,"2,480,554,399"
2023-11-22,226.46,238.18,225.66,236.14,"1,338,117,919"
2023-11-23,236.10,238.79,230.75,233.77,"766,695,224"
2023-11-24,233.75,236.38,232.19,232.90,"709,881,299"
