Date,Open,High,Low,Close*,Volume
2023-10-05,"1,647.79","1,654.38","1,609.85","1,611.48","5,403,759,057"
2023-10-06,"1,611.37","1,659.61","1,611.37","1,645.83","4,941,208,729"
2023-10-07,"1,645.81","1,648.18","1,631.16","1,634.51","2,578,994,988"
2023-10-08,"1,634.66","1,641.18","1,618.19","1,633.55","3,315,554,175"
2023-10-09,"1,633.45","1,635.45","1,553.01","1,579.81","7,020,801,716"
2023-10-10,"1,580.11","1,593.74","1,553.03","1,567.71","5,254,966,125"
2023-10-11,"1,567.68","1,578.22","1,548.98","1,566.25","5,416,504,273"
2023-10-12,"1,566.36","1,566.88","1,523.24","1,539.61","5,003,930,677"
2023-10-13,"1,539.43","1,571.75","1,537.92","1,552.09","4,575,141,511"
2023-10-14,"1,552.26","1,560.33","1,545.74","1,555.26","2,429,214,718"
2023-10-15,"1,555.08","1,565.76","1,550.55","1,558.07","2,923,337,883"
2023-10-16,"1,558.31","1,628.16","1,555.99","1,600.53","8,846,928,526"
2023-10-17,"1,600.64","1,601.29","1,554.40","1,565.44","5,032,686,973"
2023-10-18,"1,565.38","1,584.73","1,556.74","1,563.75","4,354,138,855"
2023-10-19,"1,563.96","1,573.74","1,543.59","1,567.46","5,035,110,867"
2023-10-20,"1,567.57","1,628.61","1,562.30","1,604.67","6,747,486,127"
2023-10-21,"1,604.82","1,641.24","1,593.45","1,629.30","4,212,179,634"
2023-10-22,"1,629.30","1,667.67","1,623.98","1,663.43","5,248,406,817"
2023-10-23,"1,674.85","1,794.07","1,663.45","1,765.38","14,362,295,879"
2023-10-24,"1,766.01","1,852.68","1,758.69","1,784.44","15,888,690,475"
2023-10-25,"1,784.91","1,814.48","1,762.15","1,787.40","9,439,066,475"
2023-10-26,"1,787.48","1,865.10","1,764.01","1,804.04","11,196,672,635"
2023-10-27,"1,803.79","1,804.14","1,751.44","1,780.05","7,493,399,771"
2023-10-28,"1,780.08","1,800.61","1,773.44","1,776.62","4,226,112,731"
2023-10-29,"1,776.56","1,810.49","1,766.05","1,795.55","4,358,528,382"
2023-10-30,"1,795.59","1,829.25","1,779.36","1,810.09","7,534,051,038"
2023-10-31,"1,810.13","1,819.97","1,784.57","1,816.46","6,477,922,747"
2023-11-01,"1,815.87","1,858.31","1,786.41","1,847.09","10,628,825,648"
2023-11-02,"1,847.26","1,873.89","1,790.11","1,800.62","9,004,197,724"
2023-11-03,"1,800.92","1,835.07","1,779.64","1,832.80","7,622,864,055"
2023-11-04,"1,833.37","1,867.26","1,825.74","1,857.70","4,845,080,427"
2023-11-05,"1,857.40","1,911.61","1,848.62","1,894.16","8,867,152,645"
2023-11-06,"1,894.03","1,914.58","1,871.97","1,899.84","8,104,122,602"
2023-11-07,"1,900.60","1,907.56","1,852.79","1,888.12","9,203,228,152"
2023-11-08,"1,887.12","1,904.55","1,874.55","1,889.32","6,751,627,017"
2023-11-09,"1,888.94","2,130.89","1,884.20","2,120.56","24,709,695,029"
2023-11-10,"2,121.07","2,134.69","2,068.13","2,078.29","14,740,624,457"
2023-11-11,"2,078.06","2,089.53","2,035.08","2,052.71","10,228,351,203"
2023-11-12,"2,053.12","2,066.00","2,019.03","2,045.19","7,951,011,698"
2023-11-13,"2,045.35","2,116.01","2,031.95","2,055.27","14,322,027,970"
2023-11-14,"2,054.77","2,065.07","1,939.28","1,979.05","13,087,862,495"
2023-11-15,"1,979.47","2,061.99","1,968.77","2,060.41","12,626,326,991"
2023-11-16,"2,059.97","2,088.66","1,940.57","1,960.88","14,651,619,483"
2023-11-17,"1,961.87","1,990.05","1,910.45","1,961.28","11,881,648,738"
2023-11-18,"1,961.67","1,971.46","1,921.06","1,963.29","8,064,677,046"
2023-11-19,"1,963.18","2,015.63","1,944.90","2,013.20","7,716,048,818"
2023-11-20,"2,011.85","2,066.41","1,996.04","2,022.24","12,866,464,824"
2023-11-21,"2,022.22","2,035.04","1,937.07","1,937.07","13,653,500,841"
2023-11-22,"1,933.58","2,089.51","1,933.16","2,064.43","13,372,200,584"
2023-11-23,"2,063.91","2,088.03","2,041.46","2,062.21","7,828,437,946"
2023-11-24,"2,062.41","2,132.48","2,061.00","2,081.15","12,141,148,820"
2023-11-25,"2,081.30","2,091.34","2,067.92","2,084.41","5,362,623,390"
2023-11-26,"2,084.18","2,094.10","2,038.60","2,063.29","8,054,814,154"
2023-11-27,"2,062.39","2,070.61","1,988.12","2,027.42","10,574,810,069"
2023-11-28,"2,027.52","2,074.95","1,996.81","2,049.34","9,910,633,038"
2023-11-29,"2,049.19","2,071.99","2,020.76","2,029.93","8,945,151,861"
2023-11-30,"2,029.36","2,054.44","2,022.46","2,052.56","8,107,789,163"
2023-12-01,"2,052.10","2,109.32","2,046.56","2,087.14","10,866,891,430"
2023-12-02,"2,087.66","2,182.82","2,087.41","2,165.70","9,130,124,831"
2023-12-03,"2,165.90","2,213.18","2,151.72","2,193.69","8,278,465,782"
2023-12-04,"2,193.66","2,273.07","2,193.01","2,243.22","16,149,367,134"
2023-12-05,"2,243.09","2,306.57","2,191.18","2,293.84","15,383,072,559"
2023-12-06,"2,293.63","2,310.71","2,225.08","2,231.66","12,790,612,571"
2023-12-07,"2,233.22","2,380.73","2,225.05","2,357.58","14,766,891,042"
2023-12-08,"2,357.17","2,387.51","2,340.92","2,358.73","12,543,458,699"
2023-12-09,"2,358.69","2,401.76","2,331.67","2,341.18","10,613,312,823"
2023-12-10,"2,341.44","2,376.75","2,323.41","2,352.46","7,369,608,905"
2023-12-11,"2,352.50","2,354.91","2,160.36","2,224.58","17,989,249,470"
2023-12-12,"2,224.39","2,242.55","2,166.77","2,202.04","11,391,132,228"
2023-12-13,"2,202.60","2,283.10","2,150.75","2,260.65","12,576,395,493"
2023-12-14,"2,260.74","2,331.60","2,239.37","2,316.58","12,608,711,052"
2023-12-15,"2,316.11","2,316.89","2,214.26","2,219.34","10,259,157,898"
2023-12-16,"2,220.42","2,260.81","2,213.55","2,226.93","6,866,555,430"
2023-12-17,"2,226.89","2,244.37","2,195.76","2,196.48","7,410,453,853"
2023-12-18,"2,195.34","2,222.02","2,120.13","2,217.27","10,366,536,490"
2023-12-19,"2,218.24","2,253.35","2,139.72","2,177.87","10,619,179,629"
2023-12-20,"2,177.24","2,263.33","2,161.22","2,201.91","12,652,290,807"
2023-12-21,"2,201.79","2,278.12","2,184.86","2,239.54","12,616,530,536"
2023-12-22,"2,239.60","2,341.95","2,233.53","2,326.52","16,137,246,310"
2023-12-23,"2,326.72","2,332.07","2,270.43","2,309.05","7,995,772,945"
