Date,Open,High,Low,Close*,Volume
2023-10-05,3.7647,3.7888,3.7445,3.7664,"488,278"
2023-10-06,3.7663,3.8632,3.7526,3.8481,"440,896"
2023-10-07,3.848,3.8585,3.8148,3.8345,"449,356"
2023-10-08,3.8345,3.8525,3.713,3.7252,"771,152"
2023-10-09,3.7251,3.7621,3.6594,3.6762,"667,575"
2023-10-10,3.6798,3.7181,3.6588,3.7041,"488,429"
2023-10-11,3.7034,3.7367,3.6941,3.6973,"479,521"
2023-10-12,3.6972,3.7326,3.6342,3.7042,"455,980"
2023-10-13,3.7043,3.7289,3.69,3.7263,"495,776"
2023-10-14,3.7263,3.7774,3.7158,3.747,"268,963"
2023-10-15,3.747,3.8249,3.7441,3.807,"301,004"
2023-10-16,3.8072,3.835,3.6779,3.6841,"803,999"
2023-10-17,3.6818,3.7014,3.659,3.6958,"399,175"
2023-10-18,3.6958,3.7721,3.6775,3.7485,"496,304"
2023-10-19,3.7486,4.3474,3.7194,3.9397,"1,735,135"
2023-10-20,3.9399,3.9626,3.8169,3.8585,"717,167"
2023-10-21,3.8585,3.895,3.8444,3.8758,"513,973"
2023-10-22,3.8759,3.9016,3.8592,3.8966,"441,601"
2023-10-23,3.8988,3.9145,3.841,3.8606,"673,331"
2023-10-24,3.8594,3.911,3.8278,3.878,"718,285"
2023-10-25,3.8786,4.0687,3.865,4.0687,"609,506"
2023-10-26,4.0689,4.0689,3.9013,3.9508,"821,707"
2023-10-27,3.9508,4.0178,3.9398,4.0063,"543,792"
2023-10-28,4.0063,4.0175,3.9222,3.9411,"511,849"
2023-10-29,3.941,4.007,3.9345,3.977,"459,658"
2023-10-30,3.9769,3.9806,3.9182,3.9434,"481,237"
2023-10-31,3.9434,3.9791,3.9279,3.955,"334,855"
2023-11-01,3.9545,3.9741,3.8932,3.9,"760,818"
2023-11-02,3.9001,3.9319,3.8644,3.9294,"757,742"
2023-11-03,3.9293,3.9827,3.9188,3.9604,"478,677"
2023-11-04,3.9606,3.9865,3.9047,3.9725,"476,479"
2023-11-05,3.9725,3.983,3.9241,3.955,"445,904"
2023-11-06,3.955,3.9728,3.9382,3.9682,"468,215"
2023-11-07,3.9682,4.021,3.9375,3.9601,"550,677"
2023-11-08,3.9601,4.0952,3.9563,4.0559,"700,296"
2023-11-09,4.0559,4.108,4.0048,4.0721,"676,867"
2023-11-10,4.072,4.0966,4.0072,4.0619,"535,094"
2023-11-11,4.0619,4.1123,4.0461,4.0945,"447,631"
2023-11-12,4.0946,4.1866,4.038,4.1535,"565,479"
2023-11-13,4.1538,4.1752,4.0375,4.0865,"630,915"
2023-11-14,4.0862,4.1304,4.0213,4.0678,"570,414"
2023-11-15,4.0679,4.1159,3.9816,4.0758,"695,368"
2023-11-16,4.0755,4.0831,3.998,4.0402,"608,683"
2023-11-17,4.0402,4.0874,4.0159,4.0871,"484,701"
2023-11-18,4.087,4.1178,4.0582,4.072,"558,745"
2023-11-19,4.0721,4.1195,4.0363,4.0382,"543,538"
2023-11-20,4.038,4.1149,3.9143,3.9663,"984,302"
2023-11-21,3.9658,3.9785,3.9263,3.9396,"647,710"
2023-11-22,3.9396,4.0944,3.9382,4.0581,"556,405"
2023-11-23,4.0576,4.1215,4.0546,4.0894,"492,466"
2023-11-24,4.0894,4.1335,4.0345,4.0909,"642,339"
2023-11-25,4.0739,4.1149,3.9519,3.9726,"755,766"
2023-11-26,3.9726,4.0098,3.9556,3.9929,"536,530"
2023-11-27,3.9926,4.0196,3.887,3.9804,"698,795"
2023-11-28,3.9805,4.006,3.8632,3.9026,"823,878"
2023-11-29,3.9027,4.0075,3.8511,3.9752,"986,234"
2023-11-30,3.9753,4.0071,3.9565,3.9803,"528,647"
2023-12-01,3.9802,4.0025,3.9577,3.973,"565,667"
2023-12-02,3.9729,4.0202,3.882,3.8825,"599,510"
2023-12-03,3.8816,3.8898,3.6323,3.6882,"1,734,785"
2023-12-04,3.6881,3.773,3.6881,3.743,"744,278"
2023-12-05,3.743,3.7695,3.6765,3.7218,"655,962"
2023-12-06,3.7211,3.8233,3.7211,3.7964,"669,185"
2023-12-07,3.7969,3.8499,3.7452,3.8266,"751,060"
2023-12-08,3.8268,3.8524,3.7273,3.7708,"1,094,651"
2023-12-09,3.771,3.8148,3.7687,3.793,"648,449"
2023-12-10,3.7931,3.8134,3.7808,3.8048,"706,583"
2023-12-11,3.8048,3.9416,3.7929,3.9383,"1,698,645"
2023-12-12,3.9383,3.9641,3.6634,3.733,"1,914,874"
2023-12-13,3.7329,3.7385,3.6403,3.6773,"2,153,310"
2023-12-14,3.6772,3.7025,3.6161,3.6557,"1,640,076"
2023-12-15,3.6557,3.7213,3.6365,3.7085,"745,508"
2023-12-16,3.7086,3.7748,3.7034,3.7493,"821,151"
2023-12-17,3.7493,3.7931,3.7358,3.7649,"904,513"
2023-12-18,3.7644,3.8033,3.7203,3.7719,"1,069,371"
2023-12-19,3.772,3.8353,3.7682,3.8353,"928,182"
2023-12-20,3.8352,3.9411,3.8226,3.9017,"1,112,370"
2023-12-21,3.9019,3.9376,3.7684,3.8724,"2,505,158"
2023-12-22,3.8724,3.95,3.8602,3.9366,"1,331,144"
2023-12-23,3.9366,3.9783,3.7707,3.9726,"1,307,593"
2023-12-24,3.973,3.996,3.8309,3.9344,"2,208,869"
2023-12-25,3.9343,3.9884,3.8765,3.9524,"1,663,461"
2023-12-26,3.9518,3.9803,3.8686,3.9462,"1,509,475"
2023-12-27,3.946,3.9772,3.8766,3.9633,"1,179,421"
2023-12-28,3.9638,3.9959,3.8907,3.95,"1,198,523"
2023-12-29,3.9499,4.0027,3.9012,3.9496,"1,691,820"
2023-12-30,3.9497,4.0029,3.9051,3.9522,"1,622,334"
2023-12-31,3.9515,4.0026,3.914,3.9742,"1,272,258"
2024-01-01,3.9527,4.0135,3.9068,3.9723,"1,349,693"
2024-01-02,3.9725,3.9963,3.9603,3.9702,"806,441"
2024-01-03,3.9702,4.0297,3.9585,4.0251,"1,783,028"
2024-01-04,4.025,4.062,4.0076,4.047,"999,423"
2024-01-05,4.0468,4.076,4.0292,4.0583,"764,179"
2024-01-06,4.0584,4.0794,3.9871,4.0171,"1,257,288"
2024-01-07,4.0171,4.0246,3.9734,3.9952,"881,626"
2024-01-08,3.9952,4.0227,3.8135,4.0128,"1,366,341"
2024-01-09,4.0129,4.0727,3.9928,4.0361,"923,438"
2024-01-10,4.0361,4.0826,4.0175,4.0776,"1,088,572"
2024-01-11,4.0778,4.0872,3.9366,4.0607,"1,474,793"
2024-01-12,4.0607,4.0666,4.0157,4.0436,"1,048,612"
2024-01-13,4.0436,4.0568,4.0341,4.0517,"755,295"
2024-01-14,4.0517,4.0676,4.0329,4.053,"778,677"
2024-01-15,4.053,4.0681,3.9802,3.991,"1,656,981"
2024-01-16,3.997,4.0082,3.9811,3.9877,"1,096,802"
2024-01-17,3.9877,4.0055,3.9772,3.993,"1,182,559"
2024-01-18,3.9931,4.0165,3.9715,4.0035,"720,537"
2024-01-19,4.0035,4.0123,3.9483,3.9723,"704,491"
2024-01-20,3.9723,4.0273,3.9711,4.0024,"1,111,860"
2024-01-21,4.0014,4.0291,3.9881,3.9897,"1,153,573"
2024-01-22,3.9897,4.013,3.9744,3.9901,"889,955"
2024-01-23,3.9901,4.0311,3.9714,4.0016,"1,212,083"
2024-01-24,4.0017,4.0681,3.9993,4.06,"1,394,905"
2024-01-25,4.0609,4.0843,4.0125,4.0756,"1,876,637"
2024-01-26,4.0755,4.0851,4.0307,4.0444,"1,091,092"
2024-01-27,4.0442,4.0789,4.0128,4.0128,"1,747,679"
2024-01-28,4.0145,4.0871,4.0092,4.0157,"1,434,290"
