Date,Open,High,Low,Close*,Volume
2023-10-05,7.68,7.77,7.47,7.47,"201,986,079"
2023-10-06,7.47,7.74,7.47,7.65,"172,180,524"
2023-10-07,7.65,7.67,7.49,7.53,"139,264,476"
2023-10-08,7.53,7.89,7.52,7.69,"236,631,640"
2023-10-09,7.69,7.69,7.22,7.28,"259,756,652"
2023-10-10,7.28,7.37,7.2,7.27,"178,412,540"
2023-10-11,7.27,7.41,7.17,7.39,"205,922,750"
2023-10-12,7.39,7.4,7.13,7.2,"181,954,738"
2023-10-13,7.2,7.37,7.13,7.26,"196,017,223"
2023-10-14,7.26,7.36,7.23,7.32,"96,862,815"
2023-10-15,7.32,7.53,7.3,7.42,"147,073,216"
2023-10-16,7.42,7.74,7.42,7.54,"261,897,427"
2023-10-17,7.54,7.55,7.3,7.33,"164,985,669"
2023-10-18,7.33,7.47,7.3,7.36,"150,034,960"
2023-10-19,7.36,7.42,7.26,7.31,"143,494,390"
2023-10-20,7.31,7.69,7.28,7.58,"216,886,149"
2023-10-21,7.58,9.13,7.54,8.9,"802,185,950"
2023-10-22,8.9,10.17,8.87,10.13,"1,068,818,174"
2023-10-23,10.37,10.91,9.84,10.55,"1,504,664,712"
2023-10-24,10.55,11.02,9.84,10.39,"1,070,416,055"
2023-10-25,10.39,11.61,10.36,11.03,"1,220,132,695"
2023-10-26,11.03,11.32,10.45,10.93,"753,017,604"
2023-10-27,10.93,11.37,10.66,11.2,"851,123,699"
2023-10-28,11.2,11.59,10.88,10.93,"561,267,315"
2023-10-29,10.93,11.26,10.81,11.1,"409,439,965"
2023-10-30,11.1,11.64,10.93,11.24,"623,788,293"
2023-10-31,11.24,11.92,11.05,11.38,"812,962,667"
2023-11-01,11.37,11.72,10.74,11.62,"733,607,053"
2023-11-02,11.63,11.7,10.9,11.0,"566,080,359"
2023-11-03,11.0,11.56,10.64,11.48,"565,613,053"
2023-11-04,11.48,11.61,11.22,11.5,"342,056,656"
2023-11-05,11.5,12.48,11.4,12.23,"795,814,450"
2023-11-06,12.23,13.2,12.17,13.01,"757,695,242"
2023-11-07,13.01,13.25,12.6,13.07,"870,526,793"
2023-11-08,13.07,14.94,12.91,14.94,"1,005,098,859"
2023-11-09,14.94,15.87,14.07,14.64,"1,596,172,473"
2023-11-10,14.63,15.59,14.23,15.51,"1,143,584,462"
2023-11-11,15.51,16.53,14.81,16.42,"1,161,712,114"
2023-11-12,16.42,16.46,15.6,16.0,"869,502,682"
2023-11-13,16.0,16.26,14.39,14.41,"860,588,317"
2023-11-14,14.41,14.89,13.56,13.97,"969,166,361"
2023-11-15,13.97,15.31,13.97,15.02,"791,466,905"
2023-11-16,15.02,15.17,13.67,13.89,"885,340,024"
2023-11-17,13.89,14.24,12.95,13.68,"751,633,448"
2023-11-18,13.69,13.78,13.04,13.75,"473,907,572"
2023-11-19,13.75,15.02,13.43,14.94,"678,152,582"
2023-11-20,14.94,15.37,14.43,14.47,"709,689,300"
2023-11-21,14.47,14.65,13.42,13.53,"812,724,915"
2023-11-22,13.51,14.6,13.41,14.24,"663,443,199"
2023-11-23,14.23,14.79,14.17,14.4,"587,203,129"
2023-11-24,14.4,14.76,14.29,14.46,"484,485,830"
2023-11-25,14.46,14.93,14.45,14.76,"401,143,324"
2023-11-26,14.76,15.28,14.56,14.79,"534,766,653"
2023-11-27,14.79,15.24,13.94,14.2,"629,034,297"
2023-11-28,14.2,14.67,13.83,14.52,"602,325,961"
2023-11-29,14.52,14.96,14.45,14.51,"535,989,113"
2023-11-30,14.51,14.79,14.31,14.4,"519,218,596"
2023-12-01,14.4,15.02,14.31,14.98,"515,864,142"
2023-12-02,14.98,16.17,14.94,15.99,"693,342,917"
2023-12-03,15.99,16.25,15.74,15.74,"549,786,104"
2023-12-04,15.74,16.35,15.47,15.76,"981,896,557"
2023-12-05,15.77,16.02,15.22,15.72,"656,438,313"
2023-12-06,15.72,16.12,15.29,15.29,"702,626,733"
2023-12-07,15.29,15.78,14.83,15.71,"778,907,366"
2023-12-08,15.71,17.1,15.6,16.94,"988,810,739"
2023-12-09,16.94,17.27,16.16,16.22,"865,532,067"
2023-12-10,16.22,16.43,15.89,16.33,"458,733,835"
2023-12-11,16.34,16.42,14.31,14.77,"1,146,416,406"
2023-12-12,14.77,15.11,14.23,14.52,"604,737,208"
2023-12-13,14.52,14.92,13.98,14.78,"643,456,906"
2023-12-14,14.78,15.51,14.67,15.39,"716,806,418"
2023-12-15,15.39,15.39,14.33,14.33,"489,878,330"
2023-12-16,14.33,14.76,14.2,14.32,"369,999,033"
2023-12-17,14.32,14.34,13.95,14.02,"336,120,331"
2023-12-18,14.02,14.65,13.7,14.65,"691,112,282"
2023-12-19,14.65,14.78,13.98,14.1,"412,165,750"
2023-12-20,14.1,14.78,14.03,14.23,"446,154,609"
2023-12-21,14.23,15.29,14.21,15.29,"612,613,684"
2023-12-22,15.29,15.67,15.13,15.5,"598,902,011"
2023-12-23,15.5,15.87,14.97,15.69,"560,613,729"
2023-12-24,15.69,15.92,15.26,15.31,"571,354,195"
2023-12-25,15.31,15.7,15.18,15.61,"459,143,712"
2023-12-26,15.61,15.85,14.6,15.09,"590,842,109"
2023-12-27,15.09,16.67,14.71,16.67,"795,330,265"
2023-12-28,16.68,17.54,16.04,16.05,"1,136,588,734"
