Date,Open,High,Low,Close*,Volume
2023-10-05,64.46,65.2,64.1,64.86,"202,994,978"
2023-10-06,64.86,65.91,64.57,65.53,"178,382,571"
2023-10-07,65.53,66.23,65.1,65.49,"146,532,235"
2023-10-08,65.49,65.97,65.1,65.36,"179,284,709"
2023-10-09,65.36,65.38,62.15,63.11,"235,298,990"
2023-10-10,63.11,63.79,62.68,63.62,"164,326,149"
2023-10-11,63.62,63.69,61.26,61.5,"186,389,594"
2023-10-12,61.5,61.52,60.75,61.13,"171,888,213"
2023-10-13,61.13,62.0,61.11,61.57,"203,849,754"
2023-10-14,61.57,61.95,61.47,61.67,"120,785,909"
2023-10-15,61.66,62.1,61.45,61.66,"134,170,091"
2023-10-16,61.66,65.36,61.65,63.34,"334,167,678"
2023-10-17,63.34,63.34,61.69,62.16,"191,914,626"
2023-10-18,62.16,62.6,60.19,60.28,"188,485,126"
2023-10-19,60.28,61.81,60.11,61.79,"182,482,608"
2023-10-20,61.79,64.18,61.65,63.42,"251,686,318"
2023-10-21,63.42,65.26,63.42,64.74,"198,983,839"
2023-10-22,64.74,66.06,63.82,65.19,"283,863,584"
2023-10-23,65.37,69.54,65.25,68.99,"471,640,160"
2023-10-24,68.99,72.38,67.79,69.03,"547,455,091"
2023-10-25,69.05,70.32,67.99,68.69,"369,294,933"
2023-10-26,68.7,70.43,67.45,68.85,"385,302,387"
2023-10-27,68.85,68.85,66.06,67.06,"308,631,582"
2023-10-28,67.05,68.29,67.02,67.78,"287,279,561"
2023-10-29,67.78,69.22,67.27,68.8,"232,084,984"
2023-10-30,68.8,69.7,67.85,69.25,"270,567,503"
2023-10-31,69.25,70.36,68.32,68.95,"334,835,486"
2023-11-01,68.95,70.35,66.8,69.94,"377,378,547"
2023-11-02,69.94,70.68,68.06,69.39,"350,621,685"
2023-11-03,69.39,69.57,67.95,69.49,"234,233,495"
2023-11-04,69.49,70.63,68.97,70.47,"194,430,502"
2023-11-05,70.45,72.22,70.1,71.66,"337,144,700"
2023-11-06,71.66,74.93,71.09,74.48,"307,139,405"
2023-11-07,74.49,74.51,71.38,73.56,"345,874,833"
2023-11-08,73.56,74.26,72.61,73.18,"279,316,148"
2023-11-09,73.18,76.1,70.34,73.75,"563,715,610"
2023-11-10,73.76,74.94,71.4,73.31,"391,745,232"
2023-11-11,73.3,75.86,71.41,75.17,"409,990,766"
2023-11-12,75.17,76.64,72.85,74.89,"400,244,544"
2023-11-13,74.9,75.93,71.2,71.49,"391,890,703"
2023-11-14,71.44,72.5,68.79,70.64,"378,863,884"
2023-11-15,70.64,74.25,70.62,74.08,"335,516,203"
2023-11-16,74.08,74.3,70.07,71.18,"343,373,015"
2023-11-17,71.15,71.63,68.41,70.18,"406,903,529"
2023-11-18,70.19,70.28,68.0,69.89,"243,237,870"
2023-11-19,69.9,70.67,68.82,70.64,"226,121,115"
2023-11-20,70.64,70.96,69.2,69.52,"271,959,607"
2023-11-21,69.52,71.64,65.86,66.46,"427,605,909"
2023-11-22,66.45,69.05,66.27,68.71,"275,595,694"
2023-11-23,68.7,70.59,68.62,69.51,"307,401,786"
2023-11-24,69.51,71.63,69.51,70.74,"307,601,320"
2023-11-25,70.74,72.08,70.65,71.83,"237,235,479"
2023-11-26,71.84,71.85,69.43,70.06,"257,792,066"
2023-11-27,70.06,70.46,68.28,69.24,"261,741,816"
2023-11-28,69.24,70.16,68.11,69.74,"340,266,606"
2023-11-29,69.74,70.42,69.3,69.99,"241,745,414"
2023-11-30,69.99,70.11,69.19,69.45,"238,522,259"
2023-12-01,69.44,72.14,69.29,71.54,"342,098,446"
2023-12-02,71.54,72.68,71.46,72.27,"252,948,067"
2023-12-03,72.27,72.71,71.45,72.26,"260,490,911"
2023-12-04,72.26,74.97,72.11,72.82,"579,013,037"
2023-12-05,72.83,74.29,71.49,74.29,"409,610,732"
2023-12-06,74.29,74.64,72.42,72.42,"415,760,055"
2023-12-07,72.43,74.44,72.29,74.06,"380,178,224"
2023-12-08,74.06,78.56,73.56,78.4,"518,109,798"
2023-12-09,78.41,79.43,76.24,76.28,"646,771,325"
2023-12-10,76.28,78.71,76.28,77.14,"373,110,524"
2023-12-11,77.15,77.46,71.66,72.65,"562,479,070"
2023-12-12,72.65,73.62,71.14,72.41,"327,096,779"
2023-12-13,72.4,73.93,70.68,73.2,"409,363,158"
2023-12-14,73.2,74.02,71.91,72.96,"390,459,199"
2023-12-15,72.96,72.98,70.94,70.96,"289,918,266"
2023-12-16,70.96,72.46,70.84,72.13,"239,288,933"
2023-12-17,72.13,73.49,70.99,71.23,"296,569,366"
2023-12-18,71.22,71.46,68.38,70.8,"331,991,740"
2023-12-19,70.81,71.57,69.88,70.61,"268,798,362"
2023-12-20,70.62,71.86,69.59,69.8,"388,377,729"
