Date,Open,High,Low,Close*,Volume
2023-10-05,23.15,23.72,22.63,22.69,"361,288,781"
2023-10-06,22.69,23.71,22.69,23.42,"402,665,506"
2023-10-07,23.42,24.1,23.12,23.29,"278,403,509"
2023-10-08,23.29,23.61,23.14,23.25,"190,670,414"
2023-10-09,23.24,23.35,21.81,22.12,"356,967,743"
2023-10-10,22.12,22.46,21.74,22.11,"241,087,146"
2023-10-11,22.11,22.39,21.68,22.01,"278,925,381"
2023-10-12,22.01,22.02,21.07,21.3,"283,320,977"
2023-10-13,21.3,22.16,21.13,21.83,"269,268,807"
2023-10-14,21.83,22.2,21.82,22.01,"174,004,594"
2023-10-15,22.01,22.14,21.71,21.92,"178,940,996"
2023-10-16,21.92,24.41,21.92,23.98,"726,713,710"
2023-10-17,23.98,24.49,23.64,23.96,"520,830,665"
2023-10-18,23.96,24.3,23.42,23.43,"362,606,644"
2023-10-19,23.43,25.39,23.26,24.94,"663,249,208"
2023-10-20,24.94,27.32,24.77,27.03,"910,991,447"
2023-10-21,27.03,30.14,26.71,29.39,"1,160,814,433"
2023-10-22,29.38,29.97,28.21,29.04,"665,340,924"
2023-10-23,29.26,32.47,28.9,31.85,"1,581,590,969"
2023-10-24,31.85,32.36,29.7,30.15,"1,450,364,573"
2023-10-25,30.15,33.69,30.06,32.46,"1,458,706,203"
2023-10-26,32.46,33.22,30.8,32.78,"1,015,617,285"
2023-10-27,32.78,33.3,31.53,31.74,"870,812,666"
2023-10-28,31.74,32.48,31.51,31.65,"380,462,073"
2023-10-29,31.65,33.13,31.43,32.82,"507,672,244"
2023-10-30,32.82,35.17,32.39,34.96,"1,099,930,941"
2023-10-31,34.96,38.55,34.91,38.52,"1,577,034,191"
2023-11-01,38.51,46.25,37.96,41.46,"3,630,725,002"
2023-11-02,41.39,44.49,38.98,40.21,"2,583,692,673"
2023-11-03,40.21,40.23,38.22,39.52,"1,755,955,299"
2023-11-04,39.52,42.7,39.17,42.35,"1,454,107,898"
2023-11-05,42.37,42.8,40.38,41.24,"884,855,278"
2023-11-06,41.24,42.16,39.83,42.13,"1,010,459,088"
2023-11-07,42.14,44.43,40.32,43.09,"1,780,187,159"
2023-11-08,43.09,43.81,42.39,43.19,"1,009,177,437"
2023-11-09,43.18,48.7,42.61,45.44,"2,830,770,419"
2023-11-10,45.44,57.35,45.22,56.64,"3,795,204,638"
2023-11-11,56.64,63.42,54.04,56.1,"4,182,963,132"
2023-11-12,56.13,61.71,54.94,56.15,"2,987,356,952"
2023-11-13,56.18,59.71,51.91,51.91,"2,942,685,126"
2023-11-14,51.9,57.73,51.71,56.84,"3,195,616,616"
2023-11-15,56.84,66.87,56.31,65.53,"3,793,937,162"
2023-11-16,65.54,67.99,56.81,57.87,"3,922,608,772"
2023-11-17,57.92,60.42,54.55,58.42,"3,185,454,735"
2023-11-18,58.39,59.28,55.06,58.51,"1,942,321,169"
2023-11-19,58.52,62.02,56.88,61.39,"1,998,656,461"
2023-11-20,61.37,61.37,56.35,56.53,"1,937,313,546"
2023-11-21,56.54,57.37,51.56,52.0,"2,440,890,238"
2023-11-22,52.0,58.79,51.74,57.59,"1,985,653,842"
2023-11-23,57.58,59.47,56.29,56.6,"1,379,316,733"
2023-11-24,56.58,58.69,56.35,56.87,"1,146,346,831"
2023-11-25,56.87,59.65,56.33,58.85,"1,183,793,273"
2023-11-26,58.85,58.96,56.51,57.64,"871,154,750"
2023-11-27,57.63,58.02,53.71,55.06,"1,237,763,215"
2023-11-28,55.06,58.61,54.09,58.19,"1,412,314,015"
2023-11-29,58.19,61.65,57.86,59.25,"1,941,361,674"
2023-11-30,59.25,61.44,58.95,59.24,"1,263,841,021"
2023-12-01,59.24,61.76,58.78,59.8,"1,376,669,760"
2023-12-02,59.8,63.83,59.77,63.83,"1,346,327,049"
2023-12-03,63.82,65.4,62.42,63.04,"1,368,876,645"
2023-12-04,63.04,65.13,60.28,61.53,"2,211,865,569"
2023-12-05,61.53,62.54,59.25,60.99,"1,693,517,649"
2023-12-06,60.98,66.38,60.98,61.9,"3,030,993,886"
2023-12-07,61.93,69.3,61.87,67.84,"3,002,455,075"
2023-12-08,67.85,75.13,67.84,75.0,"3,612,712,432"
2023-12-09,74.99,77.5,72.04,72.26,"2,893,248,364"
2023-12-10,72.27,74.72,70.92,74.71,"1,849,363,354"
2023-12-11,74.71,74.84,67.22,70.37,"3,729,540,309"
2023-12-12,70.34,72.34,65.97,68.54,"2,366,453,484"
2023-12-13,68.53,72.35,64.37,70.77,"2,414,610,075"
2023-12-14,70.75,76.18,69.86,75.62,"2,464,938,440"
2023-12-15,75.64,79.15,72.37,72.37,"2,821,390,652"
2023-12-16,72.43,77.08,71.57,73.47,"1,781,972,898"
2023-12-17,73.47,74.72,70.82,71.0,"1,552,380,672"
2023-12-18,70.93,75.38,67.33,74.35,"2,281,865,174"
2023-12-19,74.35,76.27,72.01,72.99,"1,900,875,405"
2023-12-20,72.99,83.96,72.99,82.19,"3,745,738,278"
2023-12-21,82.19,95.32,81.24,93.85,"4,711,493,441"
2023-12-22,93.86,99.12,90.8,98.0,"5,284,203,995"
2023-12-23,98.0,109.51,93.11,107.59,"3,957,434,568"
2023-12-24,107.73,117.38,107.73,112.49,"6,365,529,251"
2023-12-25,112.56,125.19,108.9,121.15,"5,951,791,518"
2023-12-26,121.08,121.14,104.73,112.68,"6,117,657,160"
2023-12-27,112.65,115.03,105.43,107.02,"4,267,938,569"
2023-12-28,107.02,109.42,97.67,102.1,"4,492,625,126"
2023-12-29,102.07,109.67,100.06,106.31,"4,445,797,973"
2023-12-30,106.3,107.33,101.07,101.85,"1,863,177,830"
2023-12-31,101.84,105.13,99.89,101.51,"1,748,630,533"
2024-01-01,101.51,109.51,101.51,109.51,"2,157,671,990"
2024-01-02,109.55,116.88,106.39,106.61,"3,782,057,553"
2024-01-03,106.62,109.85,92.92,98.59,"5,472,216,595"
2024-01-04,98.59,107.98,97.11,105.08,"3,272,723,247"
2024-01-05,105.05,105.24,95.94,99.98,"3,022,127,826"
2024-01-06,99.99,100.04,92.02,93.86,"2,235,902,092"
2024-01-07,93.86,96.69,88.22,89.28,"2,288,061,692"
2024-01-08,89.28,99.76,85.65,97.79,"4,152,448,360"
2024-01-09,97.82,103.8,95.89,99.41,"4,070,131,683"
2024-01-10,99.38,105.08,92.56,102.03,"4,216,429,514"
2024-01-11,102.1,106.94,98.41,99.91,"4,174,026,719"
2024-01-12,99.91,100.25,88.31,91.72,"2,868,799,888"
2024-01-13,91.76,96.92,89.75,95.73,"1,880,329,065"
2024-01-14,95.73,102.17,93.89,94.13,"2,736,734,725"
2024-01-15,94.04,96.82,93.24,94.49,"1,755,858,499"
2024-01-16,94.44,98.6,94.4,97.63,"1,806,576,879"
2024-01-17,97.62,102.43,97.06,102.06,"3,220,344,763"
2024-01-18,102.03,102.92,92.14,94.25,"2,684,524,713"
2024-01-19,94.25,95.16,87.48,93.39,"2,631,067,383"
2024-01-20,93.39,94.03,90.49,92.57,"1,204,443,546"
2024-01-21,92.59,93.71,90.85,90.85,"894,963,197"
2024-01-22,90.9,91.64,82.66,83.62,"2,662,287,481"
2024-01-23,83.62,85.84,79.07,84.27,"2,990,436,327"
2024-01-24,84.29,89.27,83.42,88.73,"2,352,477,736"
2024-01-25,88.74,89.38,85.27,86.89,"1,674,093,024"
2024-01-26,86.89,93.53,86.15,92.44,"2,027,305,107"
2024-01-27,92.39,94.44,90.84,94.16,"1,256,585,307"
2024-01-28,94.18,99.38,93.54,95.94,"2,425,625,612"
2024-01-29,95.94,101.77,95.18,101.57,"2,604,890,575"
2024-01-30,101.57,106.21,101.11,101.47,"3,328,090,833"
2024-01-31,101.45,102.55,96.1,97.03,"3,814,467,068"
2024-02-01,97.02,97.94,93.38,97.85,"2,951,395,444"
2024-02-02,97.83,102.41,97.57,100.44,"2,574,044,077"
2024-02-03,100.45,101.06,96.81,97.88,"1,349,320,819"
2024-02-04,97.89,98.46,95.27,95.48,"1,304,106,726"
2024-02-05,95.47,98.54,94.29,95.55,"1,635,327,054"
2024-02-06,95.55,97.79,93.28,96.86,"1,699,997,346"
2024-02-07,96.86,101.24,94.72,100.98,"1,733,607,189"
2024-02-08,101.0,104.8,100.55,102.79,"2,288,429,230"
2024-02-09,102.79,108.99,102.79,106.93,"2,852,770,180"
2024-02-10,106.93,110.74,106.93,109.13,"1,836,561,570"
2024-02-11,109.12,110.56,107.36,107.5,"1,370,383,843"
2024-02-12,107.49,112.07,103.61,111.99,"2,650,731,894"
2024-02-13,111.98,114.81,108.49,112.58,"2,709,494,768"
2024-02-14,112.57,118.33,110.88,116.98,"2,391,239,729"
2024-02-15,116.99,118.31,111.78,113.7,"2,471,486,178"
2024-02-16,113.67,114.25,108.35,110.45,"1,921,299,579"
2024-02-17,110.44,111.07,106.13,108.98,"1,370,606,631"
2024-02-18,108.99,114.0,107.61,112.17,"1,516,321,334"
2024-02-19,112.18,114.72,111.08,111.49,"1,898,655,220"
2024-02-20,111.48,112.04,104.89,108.46,"2,656,976,089"
2024-02-21,108.45,108.45,100.41,105.13,"2,246,861,647"
2024-02-22,105.12,107.0,101.64,101.67,"1,830,636,004"
2024-02-23,101.67,103.02,98.96,99.95,"1,483,285,120"
2024-02-24,99.95,104.65,98.59,104.13,"1,083,637,514"
2024-02-25,104.13,104.33,102.17,103.45,"909,662,462"
2024-02-26,103.45,110.58,100.46,109.92,"2,334,408,023"
2024-02-27,109.92,112.2,105.9,108.39,"2,723,995,106"
2024-02-28,108.4,118.05,107.46,118.05,"5,029,492,553"
2024-02-29,118.24,134.47,117.67,125.71,"6,950,123,902"
2024-03-01,125.64,137.6,125.64,129.99,"4,743,077,738"
2024-03-02,129.98,131.45,127.68,129.7,"2,741,772,676"
2024-03-03,129.79,132.06,125.77,130.45,"2,875,614,168"
2024-03-04,130.42,134.87,127.8,133.19,"4,429,758,300"
2024-03-05,133.16,142.65,109.54,125.71,"8,980,294,607"
2024-03-06,125.7,134.81,120.32,130.74,"5,146,680,159"
2024-03-07,130.74,149.22,130.7,143.98,"7,111,178,325"
2024-03-08,143.98,152.42,142.54,145.24,"5,474,659,974"
2024-03-09,145.24,149.35,144.29,144.61,"2,946,261,381"
2024-03-10,144.61,148.67,140.84,144.52,"3,407,621,981"
2024-03-11,144.51,150.02,137.63,148.75,"5,383,624,184"
2024-03-12,148.75,154.94,142.87,151.02,"6,413,617,983"
2024-03-13,151.02,166.45,148.95,163.84,"5,917,471,836"
2024-03-14,163.84,177.89,160.23,176.68,"8,399,967,972"
2024-03-15,176.68,188.5,165.41,182.96,"14,093,348,410"
2024-03-16,182.97,197.66,177.46,181.88,"11,794,134,069"
2024-03-17,181.88,204.29,179.23,202.12,"10,876,218,562"
2024-03-18,202.12,209.7,194.85,195.99,"11,137,647,410"
2024-03-19,195.99,198.24,166.18,170.02,"11,658,593,922"
2024-03-20,170.02,192.91,163.3,191.55,"8,673,957,460"
2024-03-21,191.55,195.31,176.28,179.22,"5,613,811,275"
2024-03-22,179.24,181.32,167.88,174.36,"4,150,938,142"
2024-03-23,174.36,178.8,171.02,172.9,"2,711,581,881"
2024-03-24,172.9,186.63,171.67,183.57,"2,661,231,893"
2024-03-25,183.57,194.43,181.25,189.08,"4,066,489,821"
2024-03-26,189.08,196.29,186.75,190.7,"3,520,179,571"
2024-03-27,190.7,192.5,180.42,186.36,"3,844,985,014"
2024-03-28,186.36,190.88,181.0,189.62,"2,910,414,256"
2024-03-29,189.62,192.97,183.65,192.23,"3,031,009,580"
2024-03-30,192.23,199.73,191.22,194.39,"2,999,311,846"
2024-03-31,194.38,203.03,194.04,202.87,"2,342,185,476"
2024-04-01,202.87,204.18,187.49,192.57,"3,872,515,434"
2024-04-02,192.57,192.57,176.13,181.17,"4,553,269,015"
2024-04-03,181.17,191.69,177.4,185.25,"4,160,370,221"
2024-04-04,185.25,190.07,180.51,183.96,"4,101,220,964"
