Date,Open,High,Low,Close*,Volume
2023-10-05,0.442,0.4485,0.4343,0.4347,"71,182,100"
2023-10-06,0.4347,0.4471,0.4336,0.4433,"55,999,777"
2023-10-07,0.4434,0.4586,0.439,0.4424,"60,864,170"
2023-10-08,0.4425,0.4439,0.4361,0.4381,"27,489,695"
2023-10-09,0.4381,0.4384,0.4074,0.4161,"55,357,240"
2023-10-10,0.4161,0.4187,0.4117,0.4154,"27,318,713"
2023-10-11,0.4155,0.417,0.4036,0.4096,"40,173,852"
2023-10-12,0.4097,0.4124,0.4024,0.4075,"33,983,766"
2023-10-13,0.4075,0.4224,0.4063,0.4132,"42,121,340"
2023-10-14,0.4132,0.4191,0.4121,0.4159,"29,360,503"
2023-10-15,0.4159,0.4159,0.4071,0.4103,"46,469,066"
2023-10-16,0.4103,0.4253,0.4074,0.411,"76,214,619"
2023-10-17,0.411,0.4116,0.3768,0.3811,"98,221,873"
2023-10-18,0.3811,0.3898,0.367,0.3829,"71,227,536"
2023-10-19,0.3829,0.3829,0.3643,0.3709,"57,661,283"
2023-10-20,0.3709,0.388,0.3662,0.3835,"63,558,581"
2023-10-21,0.3835,0.3993,0.3806,0.3911,"60,984,068"
2023-10-22,0.3911,0.4148,0.3886,0.403,"86,323,878"
2023-10-23,0.4068,0.4193,0.3941,0.4193,"97,461,612"
2023-10-24,0.4194,0.4567,0.4187,0.4335,"191,759,781"
2023-10-25,0.4336,0.4496,0.4228,0.4362,"114,817,413"
2023-10-26,0.4362,0.4621,0.4208,0.4405,"119,877,725"
2023-10-27,0.4405,0.454,0.4234,0.4312,"107,971,632"
2023-10-28,0.4314,0.4773,0.4314,0.4673,"155,395,994"
2023-10-29,0.4673,0.4685,0.4526,0.453,"75,050,083"
2023-10-30,0.453,0.4723,0.4461,0.4635,"102,005,186"
2023-10-31,0.4635,0.4737,0.4274,0.4433,"122,451,337"
2023-11-01,0.4433,0.472,0.4266,0.4655,"127,599,047"
2023-11-02,0.4654,0.4803,0.4464,0.4586,"133,703,988"
2023-11-03,0.4587,0.4587,0.4328,0.4552,"105,470,137"
2023-11-04,0.4552,0.5189,0.4522,0.5062,"167,666,601"
2023-11-05,0.5064,0.5207,0.4849,0.5014,"173,209,463"
2023-11-06,0.5014,0.5348,0.4896,0.5253,"163,840,047"
2023-11-07,0.5261,0.5283,0.494,0.5248,"166,552,863"
2023-11-08,0.5247,0.5985,0.5184,0.5804,"263,957,244"
2023-11-09,0.5803,0.6047,0.5217,0.5607,"300,029,068"
2023-11-10,0.5611,0.6247,0.5377,0.6104,"221,890,338"
2023-11-11,0.6103,0.6112,0.5733,0.5932,"197,091,386"
2023-11-12,0.5932,0.64,0.5643,0.6174,"239,081,055"
2023-11-13,0.6176,0.6554,0.6048,0.6048,"295,345,371"
2023-11-14,0.6054,0.6287,0.55,0.568,"202,040,802"
2023-11-15,0.5678,0.6203,0.5618,0.6196,"169,042,447"
2023-11-16,0.6195,0.6403,0.5558,0.5665,"203,788,492"
2023-11-17,0.5666,0.5857,0.5288,0.5533,"163,799,050"
2023-11-18,0.5534,0.5546,0.5176,0.5465,"105,146,400"
2023-11-19,0.5465,0.5657,0.5313,0.5646,"75,131,103"
2023-11-20,0.5647,0.578,0.5487,0.5558,"95,922,290"
2023-11-21,0.5557,0.5796,0.5031,0.506,"155,739,684"
2023-11-22,0.5056,0.5631,0.5042,0.5564,"95,401,956"
2023-11-23,0.5563,0.5943,0.5533,0.5876,"170,252,341"
2023-11-24,0.5877,0.6393,0.5833,0.6272,"195,410,418"
2023-11-25,0.6273,0.6862,0.6253,0.6555,"268,330,148"
2023-11-26,0.6555,0.665,0.6138,0.6364,"147,412,021"
2023-11-27,0.6363,0.6465,0.5793,0.5931,"121,250,232"
2023-11-28,0.5931,0.6295,0.5662,0.6181,"128,664,573"
2023-11-29,0.6181,0.6227,0.5805,0.6011,"127,606,280"
2023-11-30,0.6011,0.6369,0.5898,0.5973,"213,750,927"
2023-12-01,0.5974,0.6268,0.5929,0.6129,"148,690,934"
2023-12-02,0.6129,0.6323,0.606,0.6259,"103,976,302"
2023-12-03,0.6259,0.6291,0.6018,0.6163,"113,074,887"
2023-12-04,0.616,0.6361,0.585,0.6288,"287,805,440"
2023-12-05,0.6288,0.6572,0.6203,0.6426,"266,009,142"
2023-12-06,0.6427,0.6603,0.6081,0.6202,"184,386,586"
2023-12-07,0.6204,0.6845,0.6089,0.6716,"219,077,183"
2023-12-08,0.6716,0.7141,0.6697,0.7052,"209,026,614"
2023-12-09,0.705,0.7239,0.6742,0.6774,"168,598,420"
2023-12-10,0.6775,0.7119,0.6708,0.6903,"145,104,363"
2023-12-11,0.6904,0.7107,0.6108,0.6292,"239,438,868"
2023-12-12,0.6291,0.6608,0.6207,0.6591,"188,788,596"
2023-12-13,0.6591,0.6648,0.6122,0.6535,"148,871,903"
2023-12-14,0.6535,0.6692,0.6395,0.6552,"135,485,393"
2023-12-15,0.6552,0.6553,0.6173,0.6173,"122,422,800"
2023-12-16,0.6172,0.6486,0.6036,0.6314,"113,772,922"
2023-12-17,0.6314,0.6353,0.6071,0.6114,"94,738,148"
2023-12-18,0.6111,0.6175,0.568,0.6094,"125,696,614"
2023-12-19,0.6095,0.7162,0.6065,0.6797,"381,061,359"
2023-12-20,0.6794,0.7392,0.6477,0.6863,"511,472,798"
2023-12-21,0.6865,0.7146,0.6729,0.6886,"259,754,334"
2023-12-22,0.6885,0.6994,0.6603,0.6964,"192,095,773"
2023-12-23,0.6962,0.7569,0.6948,0.7511,"364,966,852"
2023-12-24,0.7518,0.7532,0.7096,0.716,"220,575,124"
2023-12-25,0.7159,0.8245,0.7142,0.8165,"300,572,021"
2023-12-26,0.8165,0.9063,0.8023,0.8861,"568,932,627"
2023-12-27,0.8864,0.9156,0.8248,0.8293,"305,595,528"
2023-12-28,0.8293,0.8613,0.7805,0.7978,"251,437,252"
2023-12-29,0.7978,0.8408,0.7638,0.8052,"244,840,642"
2023-12-30,0.8053,0.8188,0.7718,0.8097,"146,584,590"
