Date,Open,High,Low,Close*,Volume
2023-10-05,1.0003,1.0006,0.9999,1.0001,"18,816,329,985"
2023-10-06,1.0,1.0006,0.9999,1.0004,"19,152,176,768"
2023-10-07,1.0004,1.0008,1.0003,1.0006,"11,006,329,208"
2023-10-08,1.0006,1.0008,1.0003,1.0005,"12,488,411,034"
2023-10-09,1.0005,1.0012,0.9999,1.0001,"20,684,218,429"
2023-10-10,1.0002,1.0008,0.9999,1.0001,"17,384,784,047"
2023-10-11,1.0001,1.0007,0.9996,0.9998,"19,945,698,427"
2023-10-12,0.9997,1.0006,0.9995,0.9997,"16,234,691,731"
2023-10-13,0.9996,1.0005,0.9994,1.0,"21,158,055,012"
2023-10-14,0.9999,1.0006,0.9998,1.0001,"9,989,859,215"
2023-10-15,1.0,1.0005,0.9998,1.0004,"12,496,424,347"
2023-10-16,1.0004,1.0009,0.9999,1.0005,"47,707,269,941"
2023-10-17,1.0006,1.0008,1.0002,1.0004,"38,333,912,794"
2023-10-18,1.0004,1.0008,1.0001,1.0002,"32,819,081,997"
2023-10-19,1.0004,1.0011,1.0001,1.0005,"33,070,893,762"
2023-10-20,1.0004,1.0011,1.0001,1.0005,"40,795,586,179"
2023-10-21,1.0005,1.0007,1.0001,1.0004,"31,214,248,865"
2023-10-22,1.0003,1.0007,1.0,1.0002,"33,182,189,773"
2023-10-23,1.0006,1.001,0.9998,1.0004,"50,238,491,833"
2023-10-24,1.0004,1.0006,0.9996,1.0,"60,389,981,030"
2023-10-25,1.0,1.0008,0.9997,1.0004,"37,032,981,246"
2023-10-26,1.0004,1.0007,0.9998,1.0002,"34,400,726,384"
2023-10-27,1.0002,1.0008,0.9999,1.0003,"26,940,157,935"
2023-10-28,1.0003,1.0007,0.9995,1.0003,"17,102,158,535"
2023-10-29,1.0002,1.0007,1.0,1.0004,"17,945,833,722"
2023-10-30,1.0002,1.0009,0.9999,1.0006,"28,763,511,481"
2023-10-31,1.0006,1.0009,1.0,1.0003,"29,335,341,382"
2023-11-01,1.0004,1.0009,0.9998,1.0006,"39,913,237,495"
2023-11-02,1.0006,1.0012,1.0,1.0002,"37,061,602,828"
2023-11-03,1.0003,1.001,1.0,1.0007,"30,750,864,935"
2023-11-04,1.0006,1.0013,1.0003,1.0008,"20,039,891,292"
2023-11-05,1.0008,1.0015,1.0005,1.0007,"27,539,467,535"
2023-11-06,1.0007,1.0012,1.0001,1.0003,"28,998,480,107"
2023-11-07,1.0003,1.0011,1.0,1.0006,"37,131,401,565"
2023-11-08,1.0005,1.001,0.9999,1.0004,"31,439,123,893"
2023-11-09,1.0004,1.0008,0.9996,1.0001,"71,681,797,266"
2023-11-10,1.0002,1.0007,0.9997,1.0,"50,393,389,957"
2023-11-11,1.0003,1.0008,0.9997,0.9998,"40,492,882,175"
2023-11-12,0.9999,1.0008,0.9997,1.0001,"34,090,921,591"
2023-11-13,1.0003,1.0012,0.9999,1.0004,"47,623,447,835"
2023-11-14,1.0007,1.0008,0.9996,1.0003,"47,902,433,059"
2023-11-15,1.0002,1.0009,1.0,1.0008,"49,894,898,098"
2023-11-16,1.0006,1.0008,0.9998,1.0,"52,458,412,049"
2023-11-17,1.0002,1.0006,0.9999,1.0006,"45,809,290,050"
2023-11-18,1.0004,1.0008,1.0002,1.0006,"30,549,410,765"
2023-11-19,1.0006,1.0008,1.0002,1.0005,"28,609,109,544"
2023-11-20,1.0005,1.001,1.0,1.0006,"40,570,824,216"
2023-11-21,1.0005,1.0009,0.9998,1.0004,"48,932,459,629"
2023-11-22,1.0004,1.0007,0.9999,1.0003,"43,622,993,259"
2023-11-23,1.0004,1.0005,0.9999,1.0001,"28,640,324,596"
2023-11-24,1.0001,1.0009,0.9999,1.0004,"40,071,555,958"
2023-11-25,1.0003,1.0008,0.9999,1.0005,"23,045,093,192"
2023-11-26,1.0005,1.0006,0.9996,1.0002,"30,299,804,822"
2023-11-27,1.0002,1.0007,0.9998,1.0,"38,568,585,545"
2023-11-28,1.0001,1.0007,0.9999,1.0004,"37,720,536,626"
2023-11-29,1.0003,1.0008,0.9999,1.0002,"35,115,076,722"
2023-11-30,1.0002,1.0004,0.9999,1.0002,"29,247,809,691"
2023-12-01,1.0002,1.0006,0.9998,1.0002,"36,738,335,582"
2023-12-02,1.0002,1.0006,0.9997,1.0004,"31,086,578,261"
2023-12-03,1.0004,1.0006,0.9993,1.0003,"32,506,614,462"
2023-12-04,1.0003,1.001,0.9991,0.9999,"74,534,917,166"
2023-12-05,1.0,1.0007,0.9993,1.0005,"59,504,264,657"
2023-12-06,1.0002,1.0009,0.9998,1.0,"57,074,332,907"
2023-12-07,1.0,1.0011,0.9999,1.0003,"52,213,979,484"
2023-12-08,1.0004,1.0007,1.0,1.0001,"48,979,635,040"
2023-12-09,1.0001,1.0009,1.0,1.0005,"45,714,652,119"
2023-12-10,1.0004,1.0007,0.9999,1.0,"32,521,476,893"
2023-12-11,1.0001,1.0008,0.9988,0.9995,"73,473,005,079"
2023-12-12,0.9996,1.001,0.999,0.9998,"50,960,203,250"
2023-12-13,0.9997,1.0007,0.9992,1.0002,"52,038,965,688"
2023-12-14,1.0003,1.001,0.9998,1.0002,"50,697,278,985"
2023-12-15,1.0002,1.001,0.9996,1.0001,"45,289,072,124"
2023-12-16,1.0001,1.0006,0.9991,0.9992,"34,866,731,284"
2023-12-17,0.9991,1.0004,0.9986,0.9999,"34,792,857,542"
2023-12-18,0.9994,1.0003,0.9989,0.9998,"47,767,663,338"
2023-12-19,0.9998,1.0006,0.9993,0.9999,"44,657,013,334"
2023-12-20,0.9997,1.0011,0.9995,1.0,"50,936,892,565"
2023-12-21,0.9999,1.0009,0.9997,1.0001,"48,533,420,642"
2023-12-22,1.0002,1.0013,0.9999,1.0009,"52,902,171,478"
2023-12-23,1.001,1.0013,1.0002,1.0007,"36,651,294,683"
2023-12-24,1.0005,1.0013,1.0002,1.0009,"49,444,358,257"
2023-12-25,1.0008,1.0012,0.9998,1.0006,"61,756,563,211"
2023-12-26,1.0005,1.001,0.9993,1.0002,"63,483,140,133"
2023-12-27,1.0002,1.0011,0.9998,1.0007,"56,078,039,633"
2023-12-28,1.0009,1.0015,1.0,1.0012,"59,086,706,628"
2023-12-29,1.0011,1.0015,0.9998,1.0004,"52,443,392,742"
2023-12-30,1.0005,1.001,0.9998,1.0004,"31,559,955,137"
2023-12-31,1.0002,1.0013,0.9993,0.9997,"33,159,237,822"
2024-01-01,0.9999,1.0007,0.9996,1.0004,"35,556,530,943"
2024-01-02,1.0003,1.0014,1.0001,1.0005,"59,445,456,300"
2024-01-03,1.0004,1.0036,1.0002,1.0007,"87,663,506,544"
2024-01-04,1.0004,1.0018,1.0004,1.001,"54,080,510,298"
2024-01-05,1.0009,1.0016,1.0004,1.0009,"53,743,098,427"
2024-01-06,1.0009,1.0014,1.0003,1.0006,"32,532,178,110"
2024-01-07,1.0005,1.0012,1.0002,1.0006,"32,666,859,534"
2024-01-08,1.0007,1.0014,1.0002,1.0006,"61,906,019,146"
2024-01-09,1.0008,1.001,0.9994,1.0002,"61,396,977,432"
2024-01-10,1.0002,1.0011,0.9997,1.0002,"80,427,898,461"
2024-01-11,1.0003,1.0011,0.9991,1.0002,"78,116,360,556"
2024-01-12,1.0003,1.0004,0.9988,0.9999,"71,993,899,911"
2024-01-13,1.0001,1.0003,0.9996,1.0,"38,741,665,180"
2024-01-14,0.9999,1.0004,0.9993,0.9995,"35,054,633,394"
2024-01-15,0.9995,1.0003,0.9991,0.9997,"41,325,317,168"
2024-01-16,0.9994,1.0004,0.9987,0.9999,"43,063,894,677"
2024-01-17,0.9998,1.0004,0.9989,0.9992,"39,917,312,476"
2024-01-18,0.9992,0.9998,0.998,0.9992,"46,185,843,187"
2024-01-19,0.9994,1.0,0.9985,0.9992,"46,650,934,337"
2024-01-20,0.9992,1.0009,0.999,0.9993,"25,670,327,311"
2024-01-21,0.9994,1.0004,0.9992,0.9994,"21,953,622,854"
2024-01-22,0.9995,1.0005,0.9986,0.9989,"49,537,774,963"
2024-01-23,0.9988,1.0003,0.9985,0.9992,"52,394,904,183"
2024-01-24,0.9993,1.0004,0.9989,0.9997,"38,440,622,439"
2024-01-25,0.9997,1.0005,0.9992,0.9997,"33,716,145,309"
2024-01-26,0.9996,1.0003,0.9992,1.0,"42,091,434,921"
2024-01-27,0.9999,1.0004,0.9997,1.0,"23,232,564,659"
2024-01-28,1.0001,1.0002,0.9995,1.0,"29,379,055,847"
2024-01-29,1.0,1.0006,0.9996,1.0001,"35,674,653,681"
2024-01-30,1.0001,1.0003,0.9996,1.0,"41,189,878,063"
2024-01-31,1.0001,1.0004,0.9991,1.0,"41,189,878,063"
2024-02-01,1.0001,1.0004,0.9989,0.9999,"37,397,906,057"
2024-02-02,0.9998,1.0003,0.9992,0.9997,"32,455,547,367"
2024-02-03,0.9997,1.0,0.9994,0.9998,"19,986,631,753"
2024-02-04,0.9998,1.0002,0.9994,0.9997,"22,080,787,677"
2024-02-05,0.9997,1.0,0.9986,0.9988,"30,574,227,480"
2024-02-06,0.9988,1.0,0.9986,1.0,"31,068,605,844"
2024-02-07,0.9999,1.0002,0.9991,0.9998,"36,206,749,333"
2024-02-08,0.9997,1.0004,0.9991,1.0002,"41,495,353,803"
2024-02-09,1.0001,1.0009,0.9993,1.0005,"55,541,686,302"
2024-02-10,1.0005,1.0009,1.0001,1.0003,"28,746,535,798"
2024-02-11,1.0003,1.0009,0.9999,1.0003,"31,433,121,648"
2024-02-12,1.0003,1.0011,0.9998,1.0003,"50,194,735,130"
2024-02-13,1.0003,1.0011,0.9998,1.0006,"57,692,446,059"
2024-02-14,1.0006,1.0013,1.0,1.0009,"64,385,254,811"
2024-02-15,1.0009,1.0012,0.9994,1.0009,"69,469,934,488"
2024-02-16,1.001,1.0012,0.9998,1.0007,"53,607,476,361"
2024-02-17,1.0007,1.0009,0.9997,1.0004,"45,457,904,701"
2024-02-18,1.0003,1.0005,0.9997,1.0002,"49,507,723,529"
2024-02-19,1.0002,1.0004,0.9994,1.0001,"49,248,059,896"
2024-02-20,1.0,1.0003,0.9992,1.0002,"66,817,806,001"
2024-02-21,1.0002,1.0003,0.9993,1.0,"59,273,333,052"
2024-02-22,1.0001,1.0002,0.9991,0.9994,"55,760,174,038"
2024-02-23,0.9996,1.0001,0.9993,0.9999,"49,400,677,249"
2024-02-24,0.9999,1.0003,0.9994,1.0001,"33,883,854,964"
2024-02-25,0.9999,1.0005,0.9995,0.9999,"36,679,935,803"
2024-02-26,1.0,1.001,0.9995,1.0007,"62,980,327,478"
2024-02-27,1.0007,1.0012,0.9994,1.0004,"81,780,866,102"
2024-02-28,1.0005,1.0016,0.999,1.0011,"128,007,189,181"
2024-02-29,1.0011,1.0012,0.999,1.0004,"111,968,615,893"
2024-03-01,1.0004,1.0014,0.9996,1.0007,"76,389,482,142"
2024-03-02,1.0008,1.0014,0.9999,1.0006,"67,653,795,192"
2024-03-03,1.0006,1.0011,0.9999,1.0005,"70,762,304,723"
2024-03-04,1.0005,1.0021,0.9997,1.0013,"123,818,816,561"
2024-03-05,1.0013,1.0021,0.9987,1.0013,"189,867,087,465"
2024-03-06,1.0011,1.0025,0.9996,1.0004,"128,487,768,220"
2024-03-07,1.0005,1.0023,0.9994,1.0014,"95,225,950,701"
2024-03-08,1.0015,1.0036,0.9997,1.0022,"108,030,960,578"
2024-03-09,1.0022,1.0029,1.0013,1.0022,"63,272,520,530"
2024-03-10,1.0022,1.0027,1.0004,1.001,"77,540,921,867"
2024-03-11,1.001,1.0017,0.9991,1.0003,"118,434,243,798"
2024-03-12,1.0003,1.0011,0.9986,1.0001,"115,805,937,864"
2024-03-13,1.0002,1.0015,0.999,1.0005,"95,338,044,782"
2024-03-14,1.0005,1.0009,0.9983,0.9997,"116,520,409,213"
2024-03-15,0.9996,1.0025,0.9985,1.0001,"145,040,404,215"
2024-03-16,1.0002,1.001,0.9987,0.9992,"101,796,439,885"
2024-03-17,0.9993,1.0004,0.9983,0.9994,"90,407,787,768"
2024-03-18,0.9995,1.0007,0.9989,0.9999,"98,373,958,984"
2024-03-19,0.9999,1.0012,0.9985,0.9995,"137,581,151,030"
2024-03-20,0.9997,1.0013,0.999,1.0003,"122,985,298,758"
2024-03-21,1.0002,1.0015,0.9993,0.9998,"87,543,595,572"
2024-03-22,0.9998,1.0012,0.9991,1.0003,"81,269,693,027"
2024-03-23,1.0002,1.0008,0.9997,1.0003,"53,727,479,558"
2024-03-24,1.0003,1.0009,0.9996,1.0,"53,627,981,617"
2024-03-25,1.0,1.0013,0.999,1.0002,"81,204,666,738"
2024-03-26,1.0002,1.0008,0.999,1.0,"77,399,464,621"
2024-03-27,1.0,1.0004,0.9991,0.9996,"83,797,223,894"
2024-03-28,0.9996,1.0006,0.9991,1.0001,"73,312,354,659"
2024-03-29,1.0001,1.0007,0.9995,1.0005,"61,237,744,035"
2024-03-30,1.0005,1.0011,1.0,1.0004,"46,808,102,783"
2024-03-31,1.0005,1.0013,0.9997,1.0,"45,354,730,502"
2024-04-01,1.0,1.0017,0.9997,1.0004,"75,369,785,257"
2024-04-02,1.0004,1.0012,0.999,1.0002,"96,522,021,189"
2024-04-03,1.0002,1.0009,0.9996,1.0003,"72,294,081,106"
2024-04-04,1.0003,1.0008,0.9989,1.0004,"68,789,308,326"
2024-04-05,1.0004,1.001,0.9994,1.0003,"64,371,464,433"
2024-04-06,1.0003,1.0007,0.9996,1.0002,"41,022,568,112"
2024-04-07,1.0002,1.0007,0.9995,0.9999,"45,028,594,985"
2024-04-08,0.9999,1.001,0.9994,1.0002,"69,769,294,376"
2024-04-09,1.0002,1.001,0.9993,0.9998,"70,338,237,086"
2024-04-10,0.9998,1.0009,0.9992,1.0001,"68,657,000,944"
2024-04-11,1.0,1.0012,0.9993,1.0006,"57,625,638,532"
2024-04-12,1.0006,1.0014,0.9987,1.0004,"96,319,763,859"
2024-04-13,1.0004,1.0032,0.9991,1.0012,"118,933,111,448"
2024-04-14,1.0013,1.0019,0.9995,1.0011,"98,630,391,164"
2024-04-15,1.0011,1.0019,0.9998,1.0004,"87,031,799,798"
2024-04-16,1.0003,1.0018,0.9998,1.0004,"77,388,159,492"
2024-04-17,1.0005,1.0013,0.9994,1.0,"71,118,551,643"
2024-04-18,1.0,1.0017,0.9996,1.0006,"63,558,115,213"
2024-04-19,1.0005,1.0015,0.9996,1.0006,"84,354,523,666"
2024-04-20,1.0007,1.0013,1.0,1.0004,"45,625,971,025"
2024-04-21,1.0004,1.0013,0.9997,1.0002,"40,914,266,460"
2024-04-22,1.0003,1.0015,0.9998,1.0003,"52,741,030,322"
2024-04-23,1.0003,1.0014,0.9999,1.0001,"49,389,574,681"
2024-04-24,1.0001,1.0011,0.9989,0.9998,"60,998,445,931"
2024-04-25,0.9996,1.001,0.9991,0.9998,"56,150,133,824"
2024-04-26,0.9998,1.0012,0.9992,0.9997,"45,201,516,166"
