Date,Open,High,Low,Close*,Volume
2023-10-05,1.000261,1.000433,0.99983,0.999949,"2,671,315,261"
2023-10-06,0.999894,1.000364,0.999773,0.999991,"2,590,803,813"
2023-10-07,0.99999,1.000185,0.99975,0.99996,"1,179,571,042"
2023-10-08,1.000012,1.000132,0.999708,0.999969,"1,621,879,275"
2023-10-09,0.999958,1.000665,0.999685,0.999902,"2,797,548,386"
2023-10-10,0.999993,1.000533,0.999729,0.999976,"2,402,546,704"
2023-10-11,1.000041,1.000524,0.999819,0.99997,"2,952,223,563"
2023-10-12,0.999974,1.000798,0.999843,1.000108,"2,354,134,010"
2023-10-13,1.000054,1.000738,0.999881,1.000239,"2,256,260,023"
2023-10-14,1.000167,1.000531,0.999954,1.000113,"1,036,838,776"
2023-10-15,1.000048,1.000673,0.999904,1.000314,"1,366,917,286"
2023-10-16,1.000233,1.000822,0.999818,1.000207,"4,703,592,443"
2023-10-17,1.000221,1.000328,0.999814,1.000024,"2,840,553,486"
2023-10-18,1.000054,1.00047,0.999887,1.000039,"2,648,160,709"
2023-10-19,1.000208,1.000548,0.999858,0.999988,"2,652,500,406"
2023-10-20,1.000012,1.000544,0.999643,1.000064,"3,464,401,132"
2023-10-21,1.000015,1.000212,0.999813,0.999949,"2,029,693,357"
2023-10-22,0.999926,1.000509,0.999722,0.999918,"2,139,970,395"
2023-10-23,1.000301,1.000587,0.999326,1.000089,"6,974,709,631"
2023-10-24,0.999977,1.000482,0.999518,0.999994,"8,074,666,907"
2023-10-25,0.999996,1.000785,0.999813,1.000196,"5,304,032,294"
2023-10-26,1.000154,1.000522,0.999816,1.000019,"4,962,675,018"
2023-10-27,1.000006,1.00079,0.999815,1.0,"4,082,394,599"
2023-10-28,1.000032,1.0006,0.999587,1.000056,"2,468,016,438"
2023-10-29,1.000038,1.000476,0.999842,1.000022,"2,543,105,671"
2023-10-30,0.999951,1.000468,0.999708,1.000168,"3,923,554,176"
2023-10-31,1.000198,1.000452,0.999763,0.99994,"3,514,523,823"
2023-11-01,1.000101,1.000448,0.999644,1.000233,"4,780,026,293"
2023-11-02,1.000178,1.000634,0.999768,1.00012,"4,727,405,731"
2023-11-03,1.000158,1.000646,0.999788,1.000249,"3,917,354,437"
