Date,Open,High,Low,Close*,Volume
2023-10-05,0.112562,0.112562,0.110549,0.110725,"43,138,023"
2023-10-06,0.110716,0.112306,0.109998,0.111784,"38,742,768"
2023-10-07,0.111784,0.11206,0.11058,0.111167,"31,098,527"
2023-10-08,0.11117,0.11143,0.110409,0.110755,"33,199,892"
2023-10-09,0.110755,0.111009,0.104944,0.10602,"71,482,943"
2023-10-10,0.106017,0.106093,0.103662,0.104322,"47,600,915"
2023-10-11,0.104325,0.104894,0.101973,0.103293,"52,987,221"
2023-10-12,0.103288,0.103313,0.10125,0.102432,"52,694,765"
2023-10-13,0.102434,0.103478,0.102224,0.102925,"48,952,432"
2023-10-14,0.102936,0.104432,0.102936,0.104301,"38,056,921"
2023-10-15,0.104299,0.106322,0.104101,0.106294,"44,558,879"
2023-10-16,0.106296,0.110076,0.106229,0.107661,"83,759,155"
2023-10-17,0.10764,0.10764,0.103031,0.103107,"65,523,096"
2023-10-18,0.103105,0.104647,0.102758,0.103276,"54,759,971"
2023-10-19,0.103276,0.107588,0.102487,0.107359,"82,404,950"
2023-10-20,0.107358,0.109769,0.10655,0.107594,"95,593,686"
2023-10-21,0.107597,0.112304,0.107515,0.110707,"74,881,594"
2023-10-22,0.110711,0.111934,0.108461,0.110689,"72,617,298"
2023-10-23,0.111012,0.115866,0.110701,0.115866,"139,182,468"
2023-10-24,0.115861,0.120276,0.113176,0.114321,"200,961,754"
2023-10-25,0.114343,0.115551,0.112468,0.114307,"106,391,770"
2023-10-26,0.114308,0.116568,0.110937,0.113141,"108,893,076"
2023-10-27,0.113148,0.113398,0.110434,0.1121,"78,763,664"
2023-10-28,0.112073,0.114201,0.111951,0.11402,"45,089,517"
2023-10-29,0.114016,0.116798,0.112858,0.115786,"54,991,781"
2023-10-30,0.115775,0.119743,0.11477,0.119046,"94,692,855"
2023-10-31,0.119039,0.124429,0.116258,0.121278,"161,975,487"
2023-11-01,0.121275,0.123004,0.117897,0.122462,"133,124,086"
2023-11-02,0.12247,0.123483,0.118076,0.119787,"130,414,613"
2023-11-03,0.119777,0.123946,0.116816,0.122536,"117,947,727"
2023-11-04,0.122536,0.124269,0.121416,0.1236,"60,022,945"
2023-11-05,0.123597,0.128,0.123151,0.125898,"125,374,188"
2023-11-06,0.125885,0.13469,0.125542,0.131038,"174,429,741"
2023-11-07,0.131046,0.131123,0.122978,0.126695,"119,800,472"
2023-11-08,0.126688,0.128729,0.125711,0.12791,"103,803,323"
2023-11-09,0.127921,0.130127,0.119407,0.122959,"211,926,293"
2023-11-10,0.122975,0.124302,0.120557,0.123873,"131,650,824"
2023-11-11,0.12387,0.127198,0.121085,0.124922,"135,023,519"
2023-11-12,0.124933,0.126519,0.122383,0.1242,"101,812,974"
2023-11-13,0.124217,0.135917,0.12045,0.122407,"217,876,840"
2023-11-14,0.122406,0.122534,0.115746,0.117954,"134,626,489"
2023-11-15,0.117963,0.121801,0.117199,0.121672,"101,534,409"
2023-11-16,0.121663,0.123123,0.117127,0.118542,"121,240,373"
2023-11-17,0.118552,0.120353,0.114838,0.118161,"110,101,032"
2023-11-18,0.118188,0.119403,0.114988,0.119219,"65,443,512"
2023-11-19,0.119221,0.121258,0.117932,0.121157,"58,629,818"
2023-11-20,0.121159,0.121834,0.118639,0.119766,"65,066,388"
2023-11-21,0.119766,0.12032,0.113142,0.113824,"89,608,883"
2023-11-22,0.113815,0.118391,0.113527,0.118131,"67,368,477"
2023-11-23,0.118129,0.118727,0.115651,0.11724,"71,437,084"
2023-11-24,0.117241,0.118953,0.11691,0.11801,"60,575,792"
2023-11-25,0.118008,0.12137,0.117658,0.120958,"54,679,912"
2023-11-26,0.120963,0.123077,0.119581,0.120006,"96,113,154"
2023-11-27,0.119993,0.120557,0.11493,0.116519,"82,859,029"
2023-11-28,0.116516,0.118763,0.115226,0.118415,"78,375,089"
2023-11-29,0.118426,0.120071,0.118243,0.118582,"65,246,839"
2023-11-30,0.118585,0.119615,0.118038,0.118312,"69,537,285"
2023-12-01,0.118316,0.119904,0.117979,0.119794,"59,601,664"
2023-12-02,0.119789,0.121726,0.119481,0.121633,"64,446,469"
2023-12-03,0.121633,0.122919,0.120956,0.122032,"67,354,763"
2023-12-04,0.122028,0.125211,0.120335,0.122227,"134,691,570"
2023-12-05,0.122229,0.122873,0.119856,0.122446,"104,055,604"
2023-12-06,0.122448,0.12565,0.121343,0.12544,"112,772,898"
2023-12-07,0.125459,0.127255,0.123211,0.126174,"112,710,407"
2023-12-08,0.126176,0.132966,0.126127,0.132325,"123,656,968"
2023-12-09,0.132331,0.13806,0.131729,0.133692,"159,872,333"
2023-12-10,0.133695,0.136731,0.132092,0.132986,"101,653,351"
2023-12-11,0.132992,0.134552,0.120828,0.123493,"149,544,632"
2023-12-12,0.123503,0.12532,0.120931,0.123081,"90,181,627"
