Date,Open,High,Low,Close*,Volume
2023-10-05,0.533,0.533,0.5188,0.5234,"823,945,282"
2023-10-06,0.5234,0.5291,0.5185,0.5262,"684,500,790"
2023-10-07,0.5262,0.5262,0.5208,0.5219,"321,512,118"
2023-10-08,0.5219,0.5235,0.5173,0.518,"356,449,311"
2023-10-09,0.518,0.5198,0.4953,0.5032,"989,847,649"
2023-10-10,0.5033,0.5033,0.4933,0.4974,"670,612,869"
2023-10-11,0.4974,0.4978,0.4809,0.4888,"794,253,917"
2023-10-12,0.4888,0.4889,0.4756,0.483,"812,745,907"
2023-10-13,0.483,0.4898,0.4793,0.4857,"696,915,013"
2023-10-14,0.4857,0.488,0.484,0.4868,"357,321,203"
2023-10-15,0.4868,0.49,0.4857,0.4878,"385,469,444"
2023-10-16,0.4878,0.5055,0.4862,0.498,"1,082,594,336"
2023-10-17,0.498,0.4981,0.4886,0.4917,"773,438,395"
2023-10-18,0.4917,0.4922,0.4874,0.4883,"734,621,817"
2023-10-19,0.4883,0.5225,0.4787,0.5201,"1,385,006,018"
2023-10-20,0.5201,0.5291,0.51,0.516,"1,369,774,008"
2023-10-21,0.516,0.5295,0.5123,0.5212,"656,496,071"
2023-10-22,0.5212,0.5238,0.516,0.5225,"556,378,450"
2023-10-23,0.5236,0.5505,0.5218,0.5469,"1,699,115,599"
2023-10-24,0.5469,0.583,0.5375,0.5585,"2,705,905,445"
2023-10-25,0.5586,0.5624,0.5422,0.5553,"1,396,455,738"
2023-10-26,0.5554,0.5668,0.5446,0.5537,"1,401,251,370"
2023-10-27,0.5537,0.5576,0.5395,0.5461,"1,048,891,335"
2023-10-28,0.5457,0.55,0.5417,0.5454,"566,792,583"
2023-10-29,0.5454,0.5609,0.5422,0.5564,"655,356,620"
2023-10-30,0.5564,0.5832,0.5506,0.5789,"1,527,609,944"
2023-10-31,0.5789,0.6127,0.5665,0.6003,"2,218,043,567"
2023-11-01,0.6003,0.6159,0.5823,0.6095,"1,779,920,317"
2023-11-02,0.6095,0.6241,0.5932,0.6064,"1,826,715,430"
2023-11-03,0.6064,0.6152,0.5939,0.613,"1,403,532,406"
2023-11-04,0.613,0.618,0.6101,0.6162,"811,373,229"
2023-11-05,0.6162,0.6611,0.6153,0.6611,"1,923,304,412"
2023-11-06,0.6611,0.7299,0.6607,0.7155,"3,293,503,683"
2023-11-07,0.7155,0.7155,0.6577,0.6864,"2,813,667,010"
2023-11-08,0.6863,0.6969,0.674,0.6881,"1,770,450,557"
2023-11-09,0.688,0.7043,0.6463,0.6675,"3,292,007,279"
2023-11-10,0.6676,0.6705,0.6431,0.6606,"2,009,821,437"
2023-11-11,0.6606,0.6807,0.6443,0.6627,"1,754,960,201"
2023-11-12,0.6627,0.6705,0.6504,0.6615,"988,542,527"
2023-11-13,0.6616,0.7406,0.6452,0.6715,"3,089,036,403"
2023-11-14,0.6715,0.6715,0.6076,0.6297,"2,298,949,026"
2023-11-15,0.6297,0.6502,0.6266,0.6496,"1,441,133,011"
2023-11-16,0.6496,0.6521,0.6074,0.6122,"1,756,409,884"
2023-11-17,0.6122,0.6238,0.59,0.6137,"1,462,505,199"
2023-11-18,0.6137,0.6145,0.5933,0.6112,"836,754,904"
2023-11-19,0.6112,0.6287,0.603,0.6275,"960,738,459"
2023-11-20,0.6274,0.6279,0.6122,0.6128,"1,151,372,006"
2023-11-21,0.6128,0.6178,0.5793,0.5805,"1,664,786,743"
2023-11-22,0.5804,0.6151,0.5794,0.6119,"1,332,443,782"
2023-11-23,0.6119,0.6228,0.6073,0.6202,"1,233,580,691"
2023-11-24,0.6202,0.6253,0.6175,0.6219,"1,220,784,875"
2023-11-25,0.6219,0.6235,0.6169,0.6234,"604,505,841"
2023-11-26,0.6235,0.6356,0.6124,0.6168,"1,126,158,902"
2023-11-27,0.6167,0.617,0.5967,0.6042,"1,209,304,147"
2023-11-28,0.6041,0.614,0.5975,0.6114,"1,079,777,511"
2023-11-29,0.6114,0.6165,0.6051,0.6094,"1,007,163,957"
2023-11-30,0.6094,0.6096,0.5998,0.6064,"980,182,657"
2023-12-01,0.6064,0.614,0.6044,0.6129,"919,121,548"
2023-12-02,0.6129,0.6225,0.6117,0.621,"667,809,511"
2023-12-03,0.621,0.6329,0.6181,0.6237,"993,447,972"
2023-12-04,0.6237,0.6411,0.608,0.6244,"1,947,607,222"
2023-12-05,0.6244,0.6284,0.6094,0.622,"1,452,525,777"
2023-12-06,0.622,0.6422,0.6157,0.6403,"2,038,373,923"
2023-12-07,0.6405,0.6531,0.6261,0.6436,"1,839,789,008"
2023-12-08,0.6437,0.6742,0.64,0.6731,"1,892,803,940"
2023-12-09,0.6731,0.6988,0.6578,0.6588,"2,229,504,514"
2023-12-10,0.6589,0.6703,0.6498,0.6616,"1,170,952,363"
2023-12-11,0.6616,0.6628,0.6051,0.6202,"2,252,797,875"
2023-12-12,0.62,0.6257,0.6083,0.6195,"1,458,882,180"
2023-12-13,0.6195,0.6334,0.5988,0.6285,"1,557,123,843"
